label,Nosex,Nosey,Neckx,Necky,R-Shox,R-Shoy,R-Elbx,R-Elby,R-Wrx,R-Wry,L-Shox,L-Shoy,L-Elbx,L-Elby,L-Wrx,L-Wry,R-Hipx,R-Hipy,R-Kneex,R-Kneey,R-Ankx,R-Anky,L-Hipx,L-Hipy,L-Kneex,L-Kneey,L-Ankx,L-Anky,R-Eyex,R-Eyey,L-Eyex,L-Eyey,R-Earx,R-Eary,L-Earx,L-Eary
0,0.217391304,0.019323671,0.231884058,0.15942029,0.130434783,0.15942029,0.077294686,0.338164251,0,0.492753623,0.323671498,0.173913043,0.396135266,0.342995169,0.45410628,0.492753623,0.15942029,0.449275362,0.183574879,0.739130435,0.207729469,0.980676329,0.289855072,0.463768116,0.270531401,0.739130435,0.265700483,1,0.193236715,0.014492754,0.241545894,0,0.183574879,0.038647343,0.270531401,0.024154589
0,0.06846473,0.925311203,0.047717842,0.950207469,0.022821577,0.952282158,0,1,0.261410788,0.475103734,0.070539419,0.94813278,0.12033195,1,0.095435685,0.973029046,0.354771784,0.473029046,0.354771784,0.686721992,0.331950207,0.877593361,0.473029046,0.475103734,0.452282158,0.686721992,0.473029046,0.87966805,0.047717842,0.923236515,0.070539419,0.902489627,0.022821577,0.925311203,0.475103734,0.022821577
0,0.196721311,0.010928962,0.174863388,0.153005464,0.081967213,0.153005464,0.049180328,0.327868852,0,0.475409836,0.284153005,0.153005464,0.316939891,0.327868852,0.371584699,0.480874317,0.109289617,0.475409836,0.142076503,0.74863388,0.163934426,0.978142077,0.256830601,0.475409836,0.229508197,0.743169399,0.224043716,1,0.169398907,0,0.218579235,0,0.136612022,0.005464481,0.25136612,0.005464481
0,0.210191083,0.025477707,0.210191083,0.178343949,0.105095541,0.181528662,0.076433121,0.340764331,0,0.496815287,0.315286624,0.178343949,0.369426752,0.318471338,0.445859873,0.47133758,0.156050955,0.496815287,0.156050955,0.757961783,0.181528662,1,0.286624204,0.496815287,0.28343949,0.757961783,0.257961783,1,0.184713376,0,0.23566879,0,0.156050955,0.025477707,0.261146497,0.025477707
0,0.160458453,0.022922636,0.183381089,0.157593123,0.080229226,0.157593123,0,0.263610315,0.128939828,0.260744986,0.263610315,0.154727794,0.343839542,0.263610315,0.209169054,0.257879656,0.108882521,0.446991404,0.157593123,0.733524355,0.160458453,0.977077364,0.23495702,0.446991404,0.212034384,0.710601719,0.212034384,1,0.137535817,0,0.186246418,0,0.108882521,0.025787966,0.212034384,0.025787966
0,0.204651163,0.023255814,0.204651163,0.176744186,0.102325581,0.176744186,0.074418605,0.362790698,0,0.497674419,0.293023256,0.158139535,0.339534884,0.339534884,0.386046512,0.497674419,0.130232558,0.497674419,0.134883721,0.753488372,0.153488372,1,0.260465116,0.497674419,0.260465116,0.753488372,0.237209302,1,0.181395349,0,0.227906977,0,0.148837209,0.023255814,0.260465116,0.023255814
0,0.1375,0.020833333,0.158333333,0.1625,0.054166667,0.179166667,0.029166667,0.345833333,0,0.4875,0.245833333,0.1625,0.3,0.325,0.354166667,0.479166667,0.0875,0.483333333,0.108333333,0.754166667,0.133333333,1,0.2375,0.483333333,0.266666667,0.754166667,0.270833333,1,0.133333333,0,0.1625,0,0.108333333,0.029166667,0.191666667,0.029166667
0,0.201754386,0.021929825,0.197368421,0.171052632,0.100877193,0.171052632,0.052631579,0.324561404,0,0.469298246,0.280701754,0.171052632,0.350877193,0.320175439,0.429824561,0.469298246,0.127192982,0.473684211,0.153508772,0.74122807,0.175438596,1,0.254385965,0.473684211,0.254385965,0.728070175,0.228070175,0.995614035,0.175438596,0,0.223684211,0,0.149122807,0.021929825,0.25,0.021929825
0,0.279835391,0.037037037,0.279835391,0.21399177,0.135802469,0.21399177,0.098765432,0.456790123,0,0.646090535,0.419753086,0.21399177,0.456790123,0.456790123,0.526748971,0.674897119,0.205761317,0.674897119,0.205761317,1,-1,-1,0.386831276,0.674897119,0.382716049,1,-1,-1,0.242798354,0,0.312757202,0,0.205761317,0.032921811,0.349794239,0.032921811
0,0.189602446,0.024464832,0.19266055,0.159021407,0.085626911,0.140672783,0.079510703,0.321100917,0,0.486238532,0.29969419,0.159021407,0.324159021,0.324159021,0.379204893,0.486238532,0.137614679,0.486238532,0.159021407,0.727828746,0.162079511,1,0.26911315,0.486238532,0.26911315,0.727828746,0.247706422,0.975535168,0.165137615,0,0.217125382,0,0.137614679,0.003058104,0.247706422,0.003058104
0,0.211994421,0.029288703,0.211994421,0.179916318,0.092050209,0.152022315,0.059972106,0.333333333,0,0.514644351,0.333333333,0.179916318,0.364016736,0.333333333,0.423988842,0.513249651,0.150627615,0.514644351,0.152022315,0.757322176,0.181311018,1,0.273361227,0.514644351,0.271966527,0.757322176,0.242677824,1,0.181311018,0,0.241283124,0,0.150627615,0.0013947,0.30125523,0.027894003
0,0.164948454,0.025773196,0.164948454,0.164948454,0.077319588,0.164948454,0.030927835,0.335051546,0,0.5,0.24742268,0.164948454,0.278350515,0.329896907,0.309278351,0.479381443,0.113402062,0.474226804,0.134020619,0.742268041,0.139175258,1,0.221649485,0.474226804,0.195876289,0.74742268,0.164948454,1,0.139175258,0,0.190721649,0,0.108247423,0.020618557,0.221649485,0.020618557
0,0.231357553,0.03250478,0.233269598,0.198852772,0.131931166,0.198852772,0.066921606,0.369024857,0,0.533460803,0.361376673,0.198852772,0.426386233,0.367112811,0.491395793,0.533460803,0.164435946,0.565965583,0.164435946,0.799235182,0.164435946,0.998087954,0.326959847,0.565965583,0.328871893,0.799235182,0.328871893,1,0.229445507,0,0.263862333,0.001912046,0.196940727,0.03250478,0.296367113,0.034416826
0,-1,-1,0.371291866,0.161722488,0.291866029,0.16076555,0.132057416,0.269856459,0,0.378947368,0.291866029,0.13492823,0.133014354,0.269856459,0.610526316,0.405741627,0.317703349,0.459330144,0.291866029,0.729186603,0.291866029,1,0.423923445,0.459330144,0.371291866,0.730143541,0.344497608,0.974162679,-1,-1,-1,-1,0.424880383,0.026794258,0.34354067,0
0,0.186507937,0.029761905,0.186507937,0.18452381,0.091269841,0.186507937,0.05952381,0.375,0,0.531746032,0.307539683,0.156746032,0.341269841,0.345238095,0.404761905,0.529761905,0.152777778,0.5,0.154761905,0.75,0.186507937,1,0.277777778,0.498015873,0.275793651,0.748015873,0.248015873,1,0.182539683,0,0.216269841,0,0.150793651,0.029761905,0.248015873,0.029761905
0,0.201320132,0.02310231,0.198019802,0.174917492,0.099009901,0.174917492,0.072607261,0.349834983,0,0.501650165,0.297029703,0.174917492,0.326732673,0.349834983,0.399339934,0.501650165,0.128712871,0.475247525,0.148514851,0.749174917,0.151815182,1,0.250825083,0.475247525,0.247524752,0.726072607,0.221122112,1,0.174917492,0,0.224422442,0,0.148514851,0.02640264,0.250825083,0.02640264
0,0.178466077,0.025073746,0.178466077,0.17699115,0.076696165,0.17699115,0.051622419,0.333333333,0,0.51179941,0.258112094,0.17699115,0.306784661,0.333333333,0.336283186,0.486725664,0.103244838,0.486725664,0.126843658,0.743362832,0.15339233,1,0.231563422,0.486725664,0.231563422,0.743362832,0.205014749,1,0.15339233,0,0.181415929,0,0.126843658,0.025073746,0.230088496,0.025073746
0,0.098159509,0.032208589,0.167177914,0.197852761,0.098159509,0.168711656,0.06595092,0.334355828,0,0.466257669,0.263803681,0.199386503,0.297546012,0.398773006,0.299079755,0.598159509,0.098159509,0.532208589,0.130368098,0.766871166,0.13190184,0.966257669,0.197852761,0.533742331,0.197852761,0.766871166,0.167177914,1,0.098159509,0,0.130368098,0,-1,-1,0.197852761,0.030674847
0,0.167785235,0.023489933,0.16442953,0.140939597,0.05704698,0.140939597,0,0.305369128,0.11409396,0.248322148,0.251677852,0.140939597,0.33557047,0.27852349,0.194630872,0.224832215,0.110738255,0.469798658,0.11409396,0.72147651,0.140939597,0.996644295,0.244966443,0.469798658,0.22147651,0.72147651,0.194630872,1,0.140939597,0,0.191275168,0,0.110738255,0.026845638,0.218120805,0.026845638
0,0.244541485,0.021834061,0.231441048,0.165938865,0.148471616,0.161572052,0.056768559,0.31441048,0,0.467248908,0.327510917,0.170305677,0.371179039,0.318777293,0.427947598,0.467248908,0.174672489,0.467248908,0.179039301,0.720524017,0.200873362,0.991266376,0.301310044,0.471615721,0.279475983,0.737991266,0.253275109,1,0.222707424,0,0.253275109,0,0.19650655,0.021834061,0.296943231,0.021834061
0,0.172222222,0.027777778,0.194444444,0.155555556,0.083333333,0.155555556,0.05,0.333333333,0,0.488888889,0.288888889,0.155555556,0.344444444,0.333333333,0.377777778,0.488888889,0.111111111,0.483333333,0.138888889,0.755555556,0.144444444,1,0.261111111,0.488888889,0.233333333,0.755555556,0.205555556,1,0.161111111,0.005555556,0.2,0,0.133333333,0.005555556,0.233333333,0.005555556
0,0.181395349,0.023255814,0.2,0.176744186,0.097674419,0.176744186,0.051162791,0.344186047,0,0.497674419,0.288372093,0.158139535,0.330232558,0.339534884,0.381395349,0.497674419,0.125581395,0.497674419,0.125581395,0.753488372,0.148837209,1,0.260465116,0.497674419,0.255813953,0.758139535,0.23255814,1,0.153488372,0,0.204651163,0,0.130232558,0.023255814,0.237209302,0.023255814
0,0.174298375,0.023633678,0.174298375,0.150664697,0.073855244,0.149187592,0.025110783,0.323485968,0,0.474150665,0.274741507,0.150664697,0.323485968,0.323485968,0.373707533,0.47562777,0.100443131,0.450516987,0.124076809,0.725258493,0.147710487,1,0.248153619,0.450516987,0.248153619,0.725258493,0.223042836,1,0.150664697,0,0.199409158,0,0.124076809,0.00295421,0.224519941,0.00295421
0,0.157407407,0.021604938,0.160493827,0.160493827,0.052469136,0.160493827,0.027777778,0.348765432,0,0.509259259,0.24382716,0.160493827,0.271604938,0.348765432,0.299382716,0.50617284,0.083333333,0.459876543,0.104938272,0.75617284,0.108024691,1,0.216049383,0.478395062,0.216049383,0.75617284,0.216049383,0.975308642,0.132716049,0,0.163580247,0,0.104938272,0.021604938,0.194444444,0.021604938
